"sub_condition","score"
"A",47.5729943989359
"A",58.0221273016239
"A",66.4108089645725
"A",52.2120103424848
"A",41.7015786907631
"A",45.6993292310576
"A",49.8778339072046
"A",65.7779828004975
"A",80.6254613056807
"A",39.866476486147
"A",78.4641319524509
"A",44.2163328766127
"A",56.9681882200621
"A",58.0336091986626
"A",60.9526422316102
"A",54.5476293990051
"A",48.2841234126119
"A",19.4668304802838
"A",66.8089343920301
"A",19.5904391490049
"A",38.5359080630447
"A",39.7107130908885
"A",11.9915166890049
"A",71.8266653736045
"A",113.927242040598
"A",59.8631863668373
"A",80.0363697545004
"A",45.9288569290153
"A",33.5440867595597
"A",24.9350053712649
"A",57.824032459289
"A",56.366050607866
"A",70.5448034497841
"A",23.4687638660888
"A",75.5829968720913
"A",55.7632194092625
"A",71.7299358925307
"A",22.1091633325834
"A",58.7139403753871
"A",70.6280651483138
"A",13.7644929201806
"A",44.7177473177335
"A",61.6712326499591
"A",69.7032695507385
"A",68.436421246248
"A",64.5174355925094
"A",60.9501098312661
"A",30.3198492727301
"A",65.826847156245
"A",41.1251679946683
"A",67.0436449784757
"A",88.4224291742939
"A",39.7092034474536
"A",35.9894151662191
"A",25.7646655529284
"A",51.0789442764925
"A",55.0068300221924
"A",16.5706664947201
"A",44.5651215286392
"A",31.0790919418148
"A",22.2163619419163
"A",19.1147132314697
"A",44.7252087585595
"A",43.9010042595901
"A",70.1152563611138
"A",87.1388597018066
"A",56.1516506665444
"A",40.9137631391569
"A",28.2434091391488
"A",63.0006859575178
"A",48.9676204288313
"A",25.0109781658713
"A",49.948831689635
"A",73.4034129688953
"A",44.208462217532
"A",21.0267464410732
"A",54.3549479431607
"A",21.437027534602
"A",62.4049789629184
"A",55.2344984401254
"A",47.8668410785554
"A",74.6467587076127
"A",77.6864400309839
"A",97.7302613596523
"A",54.9879149964471
"A",48.7236618395709
"A",42.7174462814203
"A",39.6430081762023
"A",47.7026369158736
"A",40.494421780527
"A",19.7479746537149
"A",70.6824853079548
"A",41.8019214173597
"A",29.5151588352893
"A",17.3036632615825
"A",59.6052099402835
"A",26.8054662641398
"A",17.9310088526528
"A",49.6825956148871
"A",22.7145290546611
"B",44.9689769441414
"B",42.285466455149
"B",27.5685149955127
"B",83.7504212956768
"B",42.9722280181801
"B",69.1496022360122
"B",94.3248071682766
"B",62.906022223606
"B",80.8836979278291
"B",63.555644615389
"B",48.4416874395945
"B",76.2501868296979
"B",73.9546692048521
"B",46.83702196004
"B",39.8148454363733
"B",45.0632809401764
"B",93.072580699771
"B",82.8249916239065
"B",70.2229810386133
"B",40.564398268457
"B",25.4837547633665
"B",41.2118494109044
"B",38.3796964670903
"B",47.3675564249461
"B",46.2174475445301
"B",60.976413848053
"B",67.118829378797
"B",46.2023527535931
"B",59.4346827070182
"B",59.7760260286527
"B",110.82662785024
"B",56.2162945614498
"B",51.5351589369813
"B",38.6895471417602
"B",60.7048786750547
"B",55.9829023217737
"B",18.4166407741145
"B",78.4043170722585
"B",77.770974982342
"B",73.6032441097246
"B",94.1489843103175
"B",51.9029241481584
"B",64.0820060240534
"B",32.3631988990685
"B",79.3310967154287
"B",33.2918482333942
"B",74.5188996559172
"B",67.4795423972116
"B",62.8351325329385
"B",70.8164788457373
"B",69.918278684255
"B",74.7092909441762
"B",42.6250755577669
"B",51.3857484130527
"B",51.5752111256178
"B",92.1347379402871
"B",80.7829221149156
"B",43.5615810894543
"B",63.3892655094908
"B",52.0990690304988
"B",39.7669087454559
"B",34.9544601134399
"B",53.0516101325784
"B",58.6916422569787
"B",14.8441497412196
"B",51.6515959422811
"B",38.1189975224698
"B",50.673863630475
"B",31.087652580197
"B",47.9331581707154
"B",47.1912137838175
"B",56.5380702746772
"B",28.4540395604978
"B",72.5215005171756
"B",51.7870115345018
"B",92.1625160122318
"B",30.2458103127503
"B",80.5606721230742
"B",52.3732767863383
"B",78.2593329685016
"B",62.4160536559903
"B",38.5943048252482
"B",72.0960075225517
"B",9.89391903289181
"B",48.6672019459172
"B",52.9639266170832
"B",60.255140147676
"B",56.1422621176141
"B",39.8783555796672
"B",64.6842529742671
"B",62.4205469034948
"B",33.6436692870028
"B",44.4911414232008
"B",55.4324620309522
"B",34.2832295146054
"B",18.327302487093
"B",50.0231085681625
"B",23.1027331973278
"B",59.5713906879716
"B",30.9818796870688
